Line	Rep	Year	Loc	Phe
811	1	2023	cn	59.5
4226	1	2023	cn	65.5
4722	1	2023	cn	81.13
33-16	1	2023	cn	64.75
Nov-38	1	2023	cn	92.25
A188	1	2023	cn	27.5
A214N	1	2023	cn	65
A239	1	2023	cn	47.88
A272	1	2023	cn	35.63
A441-5	1	2023	cn	53.5
A554	1	2023	cn	38.5
A556	1	2023	cn	28
A6	1	2023	cn	109.5
A619	1	2023	cn	36
A632	1	2023	cn	60
A634	1	2023	cn	54
A635	1	2023	cn	37
A641	1	2023	cn	54.5
A654	1	2023	cn	39
A659	1	2023	cn	46.5
A661	1	2023	cn	51.5
A679	1	2023	cn	65
A680	1	2023	cn	68
A682	1	2023	cn	47
AB28A	1	2023	cn	73.5
B10	1	2023	cn	74
B103	1	2023	cn	37
B104	1	2023	cn	56.25
B105	1	2023	cn	67.5
B109	1	2023	cn	67
B115	1	2023	cn	68
B14A	1	2023	cn	57
B164	1	2023	cn	66
B2	1	2023	cn	39.5
B37	1	2023	cn	72.5
B46	1	2023	cn	42
B52	1	2023	cn	72.5
B57	1	2023	cn	41
B64	1	2023	cn	74.5
B68	1	2023	cn	65
B73	1	2023	cn	83.25
B73HTRHM	1	2023	cn	73
B75	1	2023	cn	56
B76	1	2023	cn	53
B77	1	2023	cn	50
B79	1	2023	cn	66.5
B84	1	2023	cn	72
B97	1	2023	cn	53
C103	1	2023	cn	52.5
C123	1	2023	cn	32
C49	1	2023	cn	22
C49A	1	2023	cn	22.5
CH701-30	1	2023	cn	61
CH9	1	2023	cn	41.5
CI187-2	1	2023	cn	62.63
CI21E	1	2023	cn	64
CI28A	1	2023	cn	72.5
CI31A	1	2023	cn	74
CI3A	1	2023	cn	66.5
CI44	1	2023	cn	57
CI64	1	2023	cn	64.5
CI66	1	2023	cn	47
CI7	1	2023	cn	84.67
CI90C	1	2023	cn	63.5
CI91B	1	2023	cn	49
CM105	1	2023	cn	31.5
CM174	1	2023	cn	34.5
CM37	1	2023	cn	24
CM7	1	2023	cn	28
CML10	1	2023	cn	110
CML103	1	2023	cn	88.5
CML108	1	2023	cn	55.5
CML11	1	2023	cn	97.25
CML14	1	2023	cn	80
CML154Q	1	2023	cn	61
CML157Q	1	2023	cn	111.5
CML158Q	1	2023	cn	74
CML218	1	2023	cn	62
CML220	1	2023	cn	44
CML228	1	2023	cn	74
CML238	1	2023	cn	57.5
CML247	1	2023	cn	68.5
CML254	1	2023	cn	70
CML258	1	2023	cn	133
CML261	1	2023	cn	104.17
CML264	1	2023	cn	60.5
CML277	1	2023	cn	82.5
CML281	1	2023	cn	73.5
CML287	1	2023	cn	95
CML311	1	2023	cn	89.25
CML314	1	2023	cn	81.5
CML321	1	2023	cn	82
CML322	1	2023	cn	66.75
CML323	1	2023	cn	63
CML328	1	2023	cn	74.5
CML331	1	2023	cn	59
CML332	1	2023	cn	66.5
CML333	1	2023	cn	97.5
CML341	1	2023	cn	94.63
CML349	1	2023	cn	55.25
CML38	1	2023	cn	82.5
CML45	1	2023	cn	45
CML5	1	2023	cn	94.25
CML52	1	2023	cn	104.33
CML69	1	2023	cn	76
CML77	1	2023	cn	63
CML91	1	2023	cn	64.5
CML92	1	2023	cn	68
CMV3	1	2023	cn	32.5
CO106	1	2023	cn	34.5
CO109	1	2023	cn	26.5
CO125	1	2023	cn	32.13
CO255	1	2023	cn	38
D940Y	1	2023	cn	74
DE1	1	2023	cn	64.5
DE2	1	2023	cn	57.5
DE3	1	2023	cn	70
DE811	1	2023	cn	80
E2558W	1	2023	cn	59.5
EP1	1	2023	cn	37.08
F2	1	2023	cn	34
F2834T	1	2023	cn	40
F44	1	2023	cn	94
F6	1	2023	cn	101.5
F7	1	2023	cn	27.5
GA209	1	2023	cn	76.33
GT112	1	2023	cn	136
H100	1	2023	cn	56
H105W	1	2023	cn	44.5
H49	1	2023	cn	58
H84	1	2023	cn	48
H91	1	2023	cn	60
H95	1	2023	cn	55
H99	1	2023	cn	31
HI27	1	2023	cn	93.5
HP301	1	2023	cn	62
HY	1	2023	cn	56.5
I137TN	1	2023	cn	56.5
I205	1	2023	cn	55
I29	1	2023	cn	54
IA2132	1	2023	cn	43
IA5125	1	2023	cn	29.5
IDS28	1	2023	cn	71.5
IDS69	1	2023	cn	44
IDS91	1	2023	cn	41
IL101	1	2023	cn	31.5
IL14H	1	2023	cn	46
IL677A	1	2023	cn	45.5
K148	1	2023	cn	42
K4	1	2023	cn	70
K55	1	2023	cn	43
K64	1	2023	cn	69.25
KI11	1	2023	cn	63
KI14	1	2023	cn	95.5
KI2007	1	2023	cn	61
KI2021	1	2023	cn	107
KI21	1	2023	cn	87.5
KI3	1	2023	cn	57.75
KI43	1	2023	cn	59
KI44	1	2023	cn	55
KY21	1	2023	cn	76.5
KY226	1	2023	cn	64
KY228	1	2023	cn	58.38
L317	1	2023	cn	98
L578	1	2023	cn	101.5
M14	1	2023	cn	35
M162W	1	2023	cn	63.5
M37W	1	2023	cn	62.88
MEF15655	1	2023	cn	NaN
MEF156-55-2	1	2023	cn	62.5
MO17	1	2023	cn	46
MO18W	1	2023	cn	65.5
MO1W	1	2023	cn	62
MO24W	1	2023	cn	101.5
MO44	1	2023	cn	46
MO45	1	2023	cn	74.33
MO46	1	2023	cn	54.5
MO47	1	2023	cn	36.5
MOG	1	2023	cn	87.88
MP339	1	2023	cn	71.5
MS1334	1	2023	cn	54.5
MS153	1	2023	cn	55
MS71	1	2023	cn	47.5
MT42	1	2023	cn	44.5
N192	1	2023	cn	42.5
N28HT	1	2023	cn	57
N6	1	2023	cn	45
N7A	1	2023	cn	54.5
NC222	1	2023	cn	84.5
NC230	1	2023	cn	57
NC232	1	2023	cn	55
NC236	1	2023	cn	58
NC238	1	2023	cn	43
NC250	1	2023	cn	37
NC258	1	2023	cn	60.5
NC260	1	2023	cn	52.5
NC262	1	2023	cn	25
NC264	1	2023	cn	48
NC268	1	2023	cn	74.38
NC290A	1	2023	cn	34
NC292	1	2023	cn	55.5
NC294	1	2023	cn	74
NC296	1	2023	cn	68.5
NC296A	1	2023	cn	59.5
NC298	1	2023	cn	62
NC300	1	2023	cn	68
NC302	1	2023	cn	53
NC304	1	2023	cn	8
NC306	1	2023	cn	62.88
NC308	1	2023	cn	59.63
NC310	1	2023	cn	60.5
NC312	1	2023	cn	67.5
NC314	1	2023	cn	58
NC316	1	2023	cn	85.38
NC318	1	2023	cn	72
NC320	1	2023	cn	83
NC322	1	2023	cn	77.5
NC324	1	2023	cn	56.5
NC326	1	2023	cn	88
NC328	1	2023	cn	60
NC33	1	2023	cn	101
NC330	1	2023	cn	70
NC332	1	2023	cn	76.5
NC334	1	2023	cn	80.5
NC336	1	2023	cn	50.5
NC338	1	2023	cn	71.5
NC340	1	2023	cn	60.5
NC342	1	2023	cn	68
NC344	1	2023	cn	63.5
NC346	1	2023	cn	62
NC348	1	2023	cn	73
NC350	1	2023	cn	49.5
NC352	1	2023	cn	53.5
NC354	1	2023	cn	67
NC356	1	2023	cn	56
NC358	1	2023	cn	41
NC360	1	2023	cn	56
NC362	1	2023	cn	51.5
NC364	1	2023	cn	48.5
NC366	1	2023	cn	58
NC368	1	2023	cn	64.5
NC370	1	2023	cn	70.63
NC372	1	2023	cn	69
ND246	1	2023	cn	32.5
OH40B	1	2023	cn	51.5
OH43	1	2023	cn	45
OH43E	1	2023	cn	31.5
OH603	1	2023	cn	48.5
OH7B	1	2023	cn	87
OS420	1	2023	cn	66
P39	1	2023	cn	43.5
PA762	1	2023	cn	50.5
PA875	1	2023	cn	67
PA880	1	2023	cn	69.5
PA91	1	2023	cn	63
Q6199	1	2023	cn	NaN
R109B	1	2023	cn	45
R168	1	2023	cn	57.92
R177	1	2023	cn	31
R229	1	2023	cn	76
R4	1	2023	cn	48
SA24	1	2023	cn	60.5
SC213R	1	2023	cn	67
SC357	1	2023	cn	55.5
SC55	1	2023	cn	128
SD40	1	2023	cn	46.5
SD44	1	2023	cn	39
SG1533	1	2023	cn	82.5
SG18	1	2023	cn	88.5
T232	1	2023	cn	73.5
T234	1	2023	cn	63.08
T8	1	2023	cn	87.75
TX303	1	2023	cn	102
TX601	1	2023	cn	87.63
TZI10	1	2023	cn	81
TZI11	1	2023	cn	75.5
TZI16	1	2023	cn	76.75
TZI18	1	2023	cn	79.38
TZI25	1	2023	cn	82
TZI8	1	2023	cn	89.5
TZI9	1	2023	cn	79
U267Y	1	2023	cn	53.5
VA102	1	2023	cn	47.5
VA14	1	2023	cn	56
VA17	1	2023	cn	49
VA22	1	2023	cn	62.5
VA26	1	2023	cn	41
VA35	1	2023	cn	52
VA59	1	2023	cn	36.5
VA85	1	2023	cn	66
VA99	1	2023	cn	56
VAW6	1	2023	cn	38
W117HT	1	2023	cn	31
W153R	1	2023	cn	27.5
W182B	1	2023	cn	46
W22	1	2023	cn	44
W401	1	2023	cn	35.5
W64A	1	2023	cn	59.5
WD	1	2023	cn	48.5
WF9	1	2023	cn	52
YU796NS	1	2023	cn	56.5
811	2	2023	cn	NaN
4226	2	2023	cn	59.5
4722	2	2023	cn	71.5
33-16	2	2023	cn	64.5
Nov-38	2	2023	cn	68.5
A188	2	2023	cn	62
A214N	2	2023	cn	69
