ID	N1_1W_1	N1_1W_2	N1_1W_3	N1_1Y_1	N1_1Y_2	N1_1Y_3	N0_1W_1	N0_1W_2	N0_1W_3	N0_1Y_1	N0_1Y_2	N0_1Y_3
TraesCS7D02G201400	0	0	0	0.157477445	0.147137769	0.305200619	0	0	0	0	0	0
TraesCS1D02G147400	18.28458977	19.22123103	19.13520855	7.504270347	8.285455402	7.610086329	22.72303411	25.48706173	21.55749263	26.45963346	30.91467863	33.09426374
TraesCS5A02G075600	0	0	0	0.029032155	0	0.042199527	0	0	0	0	0	0
TraesCS4B02G339300	0	0	0	0.839602556	0.34609227	0.861458558	0.310656747	0	0.4213466	1.573246518	0.733525638	0.481060247
TraesCS5B02G379000	0.500333884	0.573464687	0.584331109	0	0	0.38408722	0.33242027	0.172858138	0	0.647485638	0.40880931	0.080431507
TraesCS1A02G339300	12.31527574	11.1882732	13.53905488	10.95400382	10.29696401	11.66591151	7.434332441	6.895829608	7.77818534	7.419643686	7.314173256	8.199893693
TraesCS1B02G450700	3.135565528	3.262857779	3.565603941	2.908875828	4.260054831	3.753103838	3.453825701	3.164354848	3.834003786	2.522750645	3.923883738	4.178391484
TraesCS4A02G176100	6.850372931	10.27946395	7.526719943	9.389863148	8.506472452	10.27535931	11.00412597	13.82653981	12.69132412	7.042518403	9.898303211	7.25946537
TraesCS6D02G114600	0.881438045	1.262840697	0.633486726	1.181691217	1.129196829	1.093044077	0.540576632	0.843297584	0.668271273	1.200999415	1.312978599	1.389712339
TraesCS2A02G304100	3.074579671	2.939021634	3.154624154	3.027332064	3.081935977	3.081686516	3.212975427	3.986561312	3.743659657	4.33725278	3.783490081	4.874525777
TraesCS3A02G200700	0.061499373	0.035244184	0.215472096	0.024359792	0.102421681	0	0.33709493	0.063741438	0.034636739	0.477520658	0.422095612	0.207613827
TraesCS6B02G413800	0.645743419	0.63439531	0.969624433	0.365396885	0.307265044	0.106224122	0.183869962	0.095612158	0.311730649	0.53721074	0.271347179	0.355909417
