GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	710.1999871	-0.379163517	0.098205574	-3.863580394	0.000111737	0.00087463
TNMD	0	NA	NA	NA	NA	NA
DPM1	521.2915524	0.197259303	0.109064218	1.810509596	0.070216798	0.193268937
SCYL3	237.6287004	0.031335176	0.137978364	0.230273013	0.81787963	0.913830413
FIRRM	58.0423888	-0.089332954	0.250550376	-0.323367098	0.746417244	0.876592591
FGR	0.319568825	-0.084830514	0.152211878	-0.39519035	0.692702414	NA
CFH	5827.135529	0.416375596	0.086189831	4.823627495	1.41E-06	1.66E-05
FUCA2	1284.893238	-0.242811604	0.086825254	-2.795441853	0.005182882	0.024555793
GCLC	611.0929427	-0.047603707	0.15957812	-0.314058642	0.7534765	0.88064434
NFYA	370.1966162	-0.491126691	0.116982252	-4.208957687	2.57E-05	0.000235527
STPG1	183.6209853	-0.123062505	0.170045425	-0.716598274	0.47362201	0.689461083
NIPAL3	2820.08881	-0.045283301	0.100079899	-0.451878786	0.651356308	0.820288718
LAS1L	540.9226961	-0.008770726	0.103921389	-0.085098107	0.932183396	0.968025311
ENPP4	114.2661182	0.195340789	0.197669471	1.014753566	0.310223313	0.538625685
SEMA3F	599.9743423	-0.250030384	0.105154749	-2.378226488	0.017396137	0.06571313
CFTR	5.779336219	-0.510178251	0.374449778	-1.380481801	0.167438349	0.362550924
ANKIB1	1783.628963	-0.229039067	0.078588137	-2.914995726	0.003556934	0.017883156
CYP51A1	54.83016787	0.0066192	0.26668038	0.024469554	0.980478069	0.98940614
KRIT1	787.035093	-0.040891325	0.100631055	-0.406561478	0.684330095	0.840808248
RAD52	184.2707322	-0.301586543	0.152451052	-1.978901551	0.047827092	0.145248515
MYH16	1.432110346	-0.267259274	0.272268498	-1.076850395	0.281547107	NA
BAD	178.3920249	0.08072776	0.148016153	0.54440948	0.586159724	0.776244085
LAP3	1256.102917	0.177672515	0.103397764	1.722860033	0.084913839	0.220743651
CD99	8302.261396	0.083753365	0.078892748	1.062265094	0.288115356	0.514607046
HS3ST1	0.530316903	-0.034571273	0.158734852	-0.217659831	0.827694163	NA
AOC1	0.106518465	-0.023492652	0.152128056	-0.133017225	0.894179758	NA
WNT16	6.919988525	-0.150564957	0.37459247	-0.353078228	0.724029794	0.864338564
HECW1	108.6334938	0.092158787	0.185299418	0.491086388	0.623365349	0.801455071
MAD1L1	350.5398395	-0.159969426	0.127948475	-1.251858658	0.210621371	0.420381306
LASP1	7181.716689	0.385853171	0.091151583	4.232149766	2.31E-05	0.000215926
SNX11	250.9653457	0.384717767	0.134821974	2.8631132	0.004195007	0.020490842
TMEM176A	541.2743697	0.32595192	0.13770827	2.438418865	0.01475167	0.057734856
M6PR	1067.476458	-0.076337318	0.090068683	-0.848150872	0.396353953	0.620435378
KLHL13	378.9247484	-0.910508509	0.138185029	-6.601046501	4.08E-11	9.23E-10
CYP26B1	104.8082705	-0.870023777	0.254196208	-3.053294215	0.002263439	0.01220085
ICA1	0.744831796	-0.002088371	0.202718982	0.124245174	0.901121156	NA
DBNDD1	116.6085041	-0.274965669	0.181833418	-1.468336544	0.142012829	0.322786276
ALS2	852.6784391	0.164499455	0.093448342	1.757631919	0.078810159	0.209623478
CASP10	80.34546547	-0.378312795	0.207575705	-1.819543873	0.068828496	0.190350354
